于熙钥	95.5	89.2	184.7
于厚焜	60	89.5	149.5
于宏钊	100.5	69.1	169.6
于东柳	63.5	77.5	141.0
于孜怡	65	69.2	134.2
于瑜镈	89	86.1	175.1
于仲景	22.5	81.3	103.8
于东晓	22	85.9	107.9
于天冉	22	75.3	97.3
于卓冉	20	96.2	116.2
于延兆	22	79.9	101.9
于卓然	61	83.8	144.8
于天然	64	76.8	140.8
于志民	62	75.7	137.7
于乙然	60	87.5	147.5
于志敏	62.5	79.4	141.9
于东博	76	83.8	159.8
于锡淇	97.5	76.9	174.4
于志铭	62	80.7	142.7
于风芹	76	68.8	144.8
于罡洛	95	88.7	183.7
于熙岳	76	85.4	161.4
于来胜	61	83.8	144.8
于未迟	71	78.0	149.0
于怠涵	60	89.5	149.5
于婉清	60	75.8	135.8
于溪榕	76.5	82.0	158.5
于漠涓	96	80.4	176.4
于云锋	98.5	81.4	179.9
于祈博	75	89.5	164.5
于孝冉	62	75.7	137.7
于乾名	78.5	70.4	148.9
于炜然	62	87.4	149.4
于晨阳	60.5	80.4	140.9
于轻涵	79	79.0	158.0
于晨洋	95	88.7	183.7
于梆博	75	75.8	150.8
于馨懿	60	92.4	152.4
于冉莼	21	81.0	102.0
于晨艳	62	78.2	140.2
于云良	61	74.6	135.6
于力博	62	86.9	148.9
于惟然	62	87.3	149.3
于清林	76	84.9	160.9
于冬梅	24	75.9	99.9
于箐莲	61	79.0	140.0
于仪博	79.5	76.7	156.2
于馨苒	70	89.1	159.1
于云霖	92.5	88.3	180.8
于海彤	61	66.5	127.5
于娴博	64.5	76.7	141.2
于焦然	62	87.3	149.3
于展堂	20	96.3	116.3
于云林	76	84.9	160.9
于家嘉	62	84.3	146.3
于嶙博	64.5	76.7	141.2
于冬菊	22	72.0	94.0
于万硕	62	87.8	149.8
于艺雯	75	86.6	161.6
于华玉	77	70.8	147.8
于素强	70	96.3	166.3
于兴涵	96.5	76.7	173.2
于挪涵	60	75.8	135.8
于博闻	95	87.7	182.7
于博文	95	84.0	179.0
于博纹	92	87.2	179.2
于博温	63	87.7	150.7
于博锡	95.5	88.3	183.8
于神涵	95	88.8	183.8
于晓华	63	74.3	137.3
于华伟	63	78.4	141.4
于博析	76	84.9	160.9
于陶然	62.5	76.9	139.4
于诗夏	60	86.7	146.7
于一然	60	87.5	147.5
于一冉	23	72.5	95.5
于枝博	76	83.8	159.8
于博武	93	84.9	177.9
于博梧	75	86.3	161.3
于札博	79.5	75.2	154.7
于嘉平	77	70.8	147.8
于嘉隆	21	79.0	100.0
于煌然	62	87.4	149.4
于一荣	22	83.9	105.9
于芳忆	23.5	79.1	102.6
于晓辉	62	74.0	136.0
于晓慧	62	74.0	136.0
于启舜	70	75.8	145.8
于灿之	22	80.7	102.7
于博尉	60	86.3	146.3
于昱博	60	89.5	149.5
于屈然	71	83.8	154.8
于灿芝	25.5	69.8	95.3
于铭博	99	79.0	178.0
于博伟	60	86.3	146.3
于博纬	63.5	81.4	144.9
于博维	63	87.7	150.7
于博惟	62	87.3	149.3
于旌博	95	75.8	170.8
于博为	62	87.3	149.3
于博韦	60	94.4	154.4
于寅然	60	75.8	135.8
于怡岚	20	89.5	109.5
于其然	71	83.8	154.8
于姣博	75	89.5	164.5
于涵杰	77	87.3	164.3
于其冉	20	96.2	116.2
于若南	21	75.1	96.1
于佳昱	23.5	77.5	101.0
于懿然	62	90.3	152.3
于京成	72	94.0	166.0
于奕钰	70	81.1	151.1
于珍黛	23.5	79.1	102.6
于泊梧	76	76.9	152.9
于奕铌	70	81.1	151.1
于迷涵	94	87.4	181.4
于泉泉	92.5	82.0	174.5
于一金	61	70.2	131.2
于雪莹	78	75.4	153.4
于窃涵	62	90.3	152.3
于立灵	22	87.0	109.0
于责程	60	75.8	135.8
于纪冉	22	79.0	101.0
于纪然	70	89.5	159.5
于朝博	97	87.3	184.3
于雪玉	78	71.6	149.6
于一江	60.5	84.1	144.6
于灏炜	61.5	79.3	140.8
于茸博	77	87.3	164.3
于覆声	97	88.8	185.8
于涵江	93	74.6	167.6
于道然	62.5	76.9	139.4
于悦苑	70	80.4	150.4
于义博	77	87.4	164.4
于悦圆	62	75.9	137.9
于悄然	70	75.8	145.8
于平蓝	78	79.8	157.8
于悦渊	95	75.8	170.8
于佳旺	23	84.3	107.3
于郎骅	62	90.5	152.5
于奕铭	70	79.1	149.1
于程程	22	87.3	109.3
于予铭	61.5	86.4	147.9
于奕敏	76	76.9	152.9
于若兮	72	83.2	155.2
于垆平	62	77.9	139.9
于一飞	61	76.4	137.4
于玉衡	21	86.6	107.6
于彩瑞	90	75.2	165.2
于露茜	75	95.1	170.1
于佳彤	23	84.3	107.3
于玉红	78	78.3	156.3
于也博	62	92.7	154.7
于璀然	90.5	76.9	167.4
于琪璇	20	93.4	113.4
于元庆	62	72.4	134.4
于鼎轩	20	86.7	106.7
于琼昕	20.5	87.5	108.0
于若佟	20.5	83.2	103.7
于韶濠	96	86.1	182.1
于咏泽	62	86.1	148.1
于玺昊	23.5	70.4	93.9
于子灿	61	82.6	143.6
于翰文	95	74.2	169.2
于勇俊	20.5	82.0	102.5
于罚涵	99.5	76.7	176.2
于哚鲢	20	82.8	102.8
于雨潼	94	85.9	179.9
于小红	95	87.0	182.0
于浩展	60	88.7	148.7
于雨潇	92.5	86.1	178.6
于文超	99	76.8	175.8
于尧博	77	87.3	164.3
于再然	90.5	81.3	171.8
于卫东	21	78.8	99.8
于再冉	62	72.4	134.4
于河博	92	89.5	181.5
于子卜	93	82.6	175.6
于小寒	97	92.7	189.7
于子博	94	92.7	186.7
于忠涛	63	87.9	150.9
于语涵	79	79.0	158.0
于师骄	70	95.5	165.5
于庆耕	63	80.6	143.6
于振希	60.5	83.2	143.7
于冉致	23	78.3	101.3
于尺叱	62	75.3	137.3
于浚溪	94	75.2	169.2
于益	20	97.1	117.1
于利娜	25.5	69.1	94.6
于亦	25.5	73.1	98.6
于意	20	91.8	111.8
于毅	63	88.1	151.1
于浚希	92.5	83.2	175.7
于大嘉	23.5	78.0	101.5
于翌	20	74.2	94.2
于津玉	77	91.0	168.0
于鲤竹	22	85.5	107.5
于逸	23	88.1	111.1
