于光励	22	70.5	92.5
于光利	22	81.3	103.3
于祥光	63.5	70.4	133.9
于藻光	60.5	86.9	147.4
于稻光	21	87.5	108.5
于光梨	25.5	70.1	95.6
于光贤	22	82.2	104.2
于光棱	22.5	81.3	103.8
于光理	22.5	81.3	103.8
于茄光	23.5	70.4	93.9
于光李	22	81.3	103.3
于荞光	22	85.5	107.5
于光离	24	74.0	98.0
于满光	61	87.5	148.5
于光雪	65.5	70.1	135.6
于光地	22	77.3	99.3
于晨光	63.5	70.4	133.9
于仁光	62	81.5	143.5
于光尧	22.5	81.3	103.8
于鑫光	62	76.0	138.0
于雪光	63.5	70.4	133.9
于深光	60.5	91.3	151.8
于彪光	63.5	70.4	133.9
于然光	60.5	91.3	151.8
于纾光	63	79.6	142.6
于柑光	22	87.6	109.6
于泽光	62	69.0	131.0
于光颍	62	82.2	144.2
于栅光	22	87.6	109.6
于基光	23.5	70.4	93.9
于菘光	22	79.4	101.4
于菽光	22	79.4	101.4
于帅光	62	87.6	149.6
于光轩	25	71.3	96.3
于帆光	62	77.3	139.3
于光庭	25	71.3	96.3
于光星	64	82.0	146.0
于照光	21	74.6	95.6
于萦光	22	72.8	94.8
于光绩	22	70.5	92.5
于光求	22	77.3	99.3
于光统	22.5	81.3	103.8
于东光	22	85.6	107.6
于光佳	24	72.3	96.3
于堂光	23.5	70.4	93.9
于广光	21	87.5	108.5
于槿光	21	87.5	108.5
于春光	62	87.6	149.6
于腾光	23	82.8	105.8
于刚光	63	79.6	142.6
于地光	22	77.3	99.3
于昌光	62	85.6	147.6
于光济	64	72.6	136.6
于晔光	22	72.8	94.8
于经光	21	74.6	95.6
于映光	22	87.6	109.6
于信光	62	87.6	149.6
于驰光	21	74.6	95.6
于荧光	22	79.4	101.4
于楼光	21	87.5	108.5
于光芷	25	71.3	96.3
于蕴光	20.5	86.9	107.4
于光欣	24	72.3	96.3
于纽光	63	79.6	142.6
于云光	60.5	91.3	151.8
于桦光	22	72.8	94.8
于纭光	23	79.6	102.6
于名光	62	77.3	139.3
于贤光	21	87.5	108.5
于梨光	23.5	70.4	93.9
于邦光	63.5	70.4	133.9
于琛光	61	74.6	135.6
于圯光	22	77.3	99.3
于芬光	23	79.6	102.6
于光靖	63	66.6	129.6
于光禀	63	66.6	129.6
于桃光	23	79.6	102.6
于光树	22	74.2	96.2
于缘光	21	87.5	108.5
